Customer ID,Product ID,Order ID,Ship Mode,Sales,Quantity,Discount,Profit
CG-12520,FUR-BO-10001798,CA-2016-152156,Second Class,261.96,2,0.0,41.9136
CG-12520,FUR-CH-10000454,CA-2016-152156,Second Class,731.94,3,0.0,219.582
DV-13045,OFF-LA-10000240,CA-2016-138688,Second Class,14.62,2,0.0,6.8714
SO-20335,FUR-TA-10000577,US-2015-108966,Standard Class,957.5775,5,0.45,-383.031
SO-20335,OFF-ST-10000760,US-2015-108966,Standard Class,22.368,2,0.2,2.5164
BH-11710,FUR-FU-10001487,CA-2014-115812,Standard Class,48.86,7,0.0,14.1694
BH-11710,OFF-AR-10002833,CA-2014-115812,Standard Class,7.28,4,0.0,1.9656
BH-11710,TEC-PH-10002275,CA-2014-115812,Standard Class,907.152,6,0.2,90.7152
BH-11710,OFF-BI-10003910,CA-2014-115812,Standard Class,18.504,3,0.2,5.7825
BH-11710,OFF-AP-10002892,CA-2014-115812,Standard Class,114.9,5,0.0,34.47
BH-11710,FUR-TA-10001539,CA-2014-115812,Standard Class,1706.184,9,0.2,85.3092
BH-11710,TEC-PH-10002033,CA-2014-115812,Standard Class,911.424,4,0.2,68.3568
AA-10480,OFF-PA-10002365,CA-2017-114412,Standard Class,15.552,3,0.2,5.4432
IM-15070,OFF-BI-10003656,CA-2016-161389,Standard Class,407.976,3,0.2,132.5922
HP-14815,OFF-AP-10002311,US-2015-118983,Standard Class,68.81,5,0.8,-123.858
HP-14815,OFF-BI-10000756,US-2015-118983,Standard Class,2.544,3,0.8,-3.816
PK-19075,OFF-ST-10004186,CA-2014-105893,Standard Class,665.88,6,0.0,13.3176
AG-10270,OFF-ST-10000107,CA-2014-167164,Second Class,55.5,2,0.0,9.99
ZD-21925,OFF-AR-10003056,CA-2014-143336,Second Class,8.56,2,0.0,2.4824
ZD-21925,TEC-PH-10001949,CA-2014-143336,Second Class,213.48,3,0.2,16.011
ZD-21925,OFF-BI-10002215,CA-2014-143336,Second Class,22.72,4,0.2,7.384
KB-16585,OFF-AR-10000246,CA-2016-137330,Standard Class,19.46,7,0.0,5.0596
KB-16585,OFF-AP-10001492,CA-2016-137330,Standard Class,60.34,7,0.0,15.6884
SF-20065,FUR-CH-10002774,US-2017-156909,Second Class,71.372,2,0.3,-1.0196
EB-13870,FUR-TA-10000577,CA-2015-106320,Standard Class,1044.63,3,0.0,240.2649
EH-13945,OFF-BI-10001634,CA-2016-121755,Second Class,11.648,2,0.2,4.2224
EH-13945,TEC-AC-10003027,CA-2016-121755,Second Class,90.57,3,0.0,11.7741
TB-21520,FUR-BO-10004834,US-2015-150630,Standard Class,3083.43,7,0.5,-1665.0522
TB-21520,OFF-BI-10000474,US-2015-150630,Standard Class,9.618,2,0.7,-7.0532
TB-21520,FUR-FU-10004848,US-2015-150630,Standard Class,124.2,3,0.2,15.525
TB-21520,OFF-EN-10001509,US-2015-150630,Standard Class,3.264,2,0.2,1.1016
TB-21520,OFF-AR-10004042,US-2015-150630,Standard Class,86.304,6,0.2,9.7092
TB-21520,OFF-BI-10001525,US-2015-150630,Standard Class,6.858,6,0.7,-5.715
TB-21520,OFF-AR-10001683,US-2015-150630,Standard Class,15.76,2,0.2,3.546
MA-17560,OFF-PA-10000249,CA-2017-107727,Second Class,29.472,3,0.2,9.9468
GH-14485,TEC-PH-10004977,CA-2016-117590,First Class,1097.544,7,0.2,123.4737
GH-14485,FUR-FU-10003664,CA-2016-117590,First Class,190.92,5,0.6,-147.963
SN-20710,OFF-EN-10002986,CA-2015-117415,Standard Class,113.328,9,0.2,35.415
SN-20710,FUR-BO-10002545,CA-2015-117415,Standard Class,532.3992,3,0.32,-46.9764
SN-20710,FUR-CH-10004218,CA-2015-117415,Standard Class,212.058,3,0.3,-15.147
SN-20710,TEC-PH-10000486,CA-2015-117415,Standard Class,371.168,4,0.2,41.7564
LC-16930,TEC-PH-10004093,CA-2017-120999,Standard Class,147.168,4,0.2,16.5564
RA-19885,OFF-ST-10003479,CA-2016-101343,Standard Class,77.88,2,0.0,3.894
ES-14080,OFF-ST-10003282,CA-2017-139619,Standard Class,95.616,2,0.2,9.5616
ON-18715,TEC-AC-10000171,CA-2016-118255,First Class,45.98,2,0.0,19.7714
ON-18715,OFF-BI-10003291,CA-2016-118255,First Class,17.46,2,0.0,8.2062
PO-18865,OFF-ST-10001713,CA-2014-146703,Second Class,211.96,4,0.0,8.4784
LH-16900,TEC-AC-10002167,CA-2016-169194,Standard Class,45.0,3,0.0,4.95
LH-16900,TEC-PH-10003988,CA-2016-169194,Standard Class,21.8,2,0.0,6.104
DP-13000,OFF-BI-10004410,CA-2015-115742,Standard Class,38.22,6,0.0,17.9634
DP-13000,OFF-LA-10002762,CA-2015-115742,Standard Class,75.18,6,0.0,35.3346
DP-13000,FUR-FU-10001706,CA-2015-115742,Standard Class,6.16,2,0.0,2.9568
DP-13000,FUR-CH-10003061,CA-2015-115742,Standard Class,89.99,1,0.0,17.0981
JM-15265,OFF-FA-10000304,CA-2016-105816,Standard Class,15.26,7,0.0,6.2566
JM-15265,TEC-PH-10002447,CA-2016-105816,Standard Class,1029.95,5,0.0,298.6855
TB-21055,OFF-ST-10000604,CA-2016-111682,First Class,208.56,6,0.0,52.14
TB-21055,OFF-PA-10001569,CA-2016-111682,First Class,32.4,5,0.0,15.552
TB-21055,FUR-CH-10003968,CA-2016-111682,First Class,319.41,5,0.1,7.098
TB-21055,OFF-PA-10000587,CA-2016-111682,First Class,14.56,2,0.0,6.9888
TB-21055,TEC-AC-10002167,CA-2016-111682,First Class,30.0,2,0.0,3.3
TB-21055,OFF-BI-10001460,CA-2016-111682,First Class,48.48,4,0.2,16.362
TB-21055,OFF-AR-10001868,CA-2016-111682,First Class,1.68,1,0.0,0.84
KM-16720,TEC-AC-10004633,CA-2015-135545,Standard Class,13.98,2,0.0,6.1512
KM-16720,OFF-BI-10001078,CA-2015-135545,Standard Class,25.824,6,0.2,9.3612
KM-16720,OFF-PA-10003892,CA-2015-135545,Standard Class,146.73,3,0.0,68.9631
KM-16720,FUR-FU-10000397,CA-2015-135545,Standard Class,79.76,4,0.0,22.3328
PS-18970,FUR-CH-10001146,US-2015-164175,Standard Class,213.115,5,0.3,-15.2225
BS-11590,OFF-AR-10002671,CA-2014-106376,Standard Class,1113.024,8,0.2,111.3024
BS-11590,TEC-PH-10002726,CA-2014-106376,Standard Class,167.968,4,0.2,62.988
KD-16270,OFF-PA-10000482,CA-2016-119823,First Class,75.88,2,0.0,35.6636
HM-14980,OFF-BI-10004654,CA-2016-106075,Standard Class,4.616,1,0.2,1.731
